week,precipitation_max,precipitation_avg,city,state
201330,6.688852129885938,1.8380500162422992,Angra Dos Reis,RJ
201331,0.140526495262514,0.05675301904272073,Angra Dos Reis,RJ
201332,0.12125190821787905,0.012593816837401807,Angra Dos Reis,RJ
201333,1.9370386549762886,0.35992296180019046,Angra Dos Reis,RJ
201334,2.036572241535574,0.2690195783288523,Angra Dos Reis,RJ
201335,-0.466291454608721,-0.0632934066361876,Angra Dos Reis,RJ
201336,5.484261178725502,1.4495027155154672,Angra Dos Reis,RJ
201337,0.13892841211008705,0.03805729926389356,Angra Dos Reis,RJ
201338,1.5455836823484872,0.3398508992570034,Angra Dos Reis,RJ
201339,3.173430009001571,0.8044331737350521,Angra Dos Reis,RJ
201340,8.011223380982202,2.7444786372664693,Angra Dos Reis,RJ
