date,week,start_date,end_date
2015-07-26,201530,2015-07-26,2015-08-01
2015-08-02,201531,2015-08-02,2015-08-08
2015-08-09,201532,2015-08-09,2015-08-15
2015-08-16,201533,2015-08-16,2015-08-22
2015-08-23,201534,2015-08-23,2015-08-29
2015-08-30,201535,2015-08-30,2015-09-05
2015-09-06,201536,2015-09-06,2015-09-12
2015-09-13,201537,2015-09-13,2015-09-19
2015-09-20,201538,2015-09-20,2015-09-26
2015-09-27,201539,2015-09-27,2015-10-03
2015-10-04,201540,2015-10-04,2015-10-10
2015-10-11,201541,2015-10-11,2015-10-17
2015-10-18,201542,2015-10-18,2015-10-24
2015-10-25,201543,2015-10-25,2015-10-31
2015-11-01,201544,2015-11-01,2015-11-07
2015-11-08,201545,2015-11-08,2015-11-14
2015-11-15,201546,2015-11-15,2015-11-21
2015-11-22,201547,2015-11-22,2015-11-28
2015-11-29,201548,2015-11-29,2015-12-05
2015-12-06,201549,2015-12-06,2015-12-12
2015-12-13,201550,2015-12-13,2015-12-19
2015-12-20,201551,2015-12-20,2015-12-26
2015-12-27,201552,2015-12-27,2016-01-02
2016-01-03,201601,2016-01-03,2016-01-09
2016-01-10,201602,2016-01-10,2016-01-16
2016-01-17,201603,2016-01-17,2016-01-23
2016-01-24,201604,2016-01-24,2016-01-30
2016-01-31,201605,2016-01-31,2016-02-06
2016-02-07,201606,2016-02-07,2016-02-13
2016-02-14,201607,2016-02-14,2016-02-20
2016-02-21,201608,2016-02-21,2016-02-27
2016-02-28,201609,2016-02-28,2016-03-05
2016-03-06,201610,2016-03-06,2016-03-12
2016-03-13,201611,2016-03-13,2016-03-19
2016-03-20,201612,2016-03-20,2016-03-26
2016-03-27,201613,2016-03-27,2016-04-02
2016-04-03,201614,2016-04-03,2016-04-09
2016-04-10,201615,2016-04-10,2016-04-16
2016-04-17,201616,2016-04-17,2016-04-23
2016-04-24,201617,2016-04-24,2016-04-30
2016-05-01,201618,2016-05-01,2016-05-07
2016-05-08,201619,2016-05-08,2016-05-14
2016-05-15,201620,2016-05-15,2016-05-21
2016-05-22,201621,2016-05-22,2016-05-28
2016-05-29,201622,2016-05-29,2016-06-04
2016-06-05,201623,2016-06-05,2016-06-11
2016-06-12,201624,2016-06-12,2016-06-18
