week,precipitation_avg,precipitation_max,CITY
201549,2.668,11.635,Angra Dos Reis
201550,4.7111,23.4205,Angra Dos Reis
201551,1.4819,8.1565,Angra Dos Reis
201552,4.3091,19.8563,Angra Dos Reis
201601,1.6932,8.7459,Angra Dos Reis
201602,7.1604,18.8183,Angra Dos Reis
201603,1.5575,5.5256,Angra Dos Reis
201604,1.9334,12.0833,Angra Dos Reis
201605,0.0,0.0,Angra Dos Reis
201606,3.1084,14.9983,Angra Dos Reis
201607,6.6963,24.1787,Angra Dos Reis
201608,6.3861,20.266,Angra Dos Reis
201609,4.0135,17.7372,Angra Dos Reis
201610,3.4859,21.0413,Angra Dos Reis
201611,4.0392,19.2853,Angra Dos Reis
201612,4.1494,13.1007,Angra Dos Reis
201613,0.7083,3.9377,Angra Dos Reis
201614,0.0467,0.2898,Angra Dos Reis
201615,0.042,0.2016,Angra Dos Reis
201616,0.0055,0.0134,Angra Dos Reis
201617,0.7598,3.2891,Angra Dos Reis
201618,0.0138,0.1986,Angra Dos Reis
201619,1.2314,5.4275,Angra Dos Reis
201620,1.2417,5.1083,Angra Dos Reis
201621,0.7657,3.833,Angra Dos Reis
201622,1.6781,5.9235,Angra Dos Reis
201623,3.1579,12.1158,Angra Dos Reis
201624,0.0308,0.1281,Angra Dos Reis
201625,0.4093,1.2443,Angra Dos Reis
201626,0.1259,0.6825,Angra Dos Reis
201627,0.0216,0.1215,Angra Dos Reis
201628,0.0192,0.0815,Angra Dos Reis
201629,0.1381,0.5207,Angra Dos Reis
201630,0.2614,1.9361,Angra Dos Reis
201631,0.2263,1.298,Angra Dos Reis
201632,0.3337,1.9045,Angra Dos Reis
201633,0.4018,1.8359,Angra Dos Reis
201634,0.653,4.3676,Angra Dos Reis
201635,1.2595,5.0628,Angra Dos Reis
201636,0.362,1.8149,Angra Dos Reis
201637,0.2946,1.5388,Angra Dos Reis
201638,1.0693,4.2058,Angra Dos Reis
201639,1.0232,3.6927,Angra Dos Reis
201640,1.947,6.1766,Angra Dos Reis
201641,1.6352,3.6333,Angra Dos Reis
201642,0.1833,0.9886,Angra Dos Reis
201643,1.0319,4.5628,Angra Dos Reis
201644,2.8525,13.929,Angra Dos Reis
201645,3.6412,14.3961,Angra Dos Reis
201646,6.2265,18.675,Angra Dos Reis
201647,0.4038,1.9477,Angra Dos Reis
201648,0.8815,4.9267,Angra Dos Reis
201649,3.6206,14.3796,Angra Dos Reis
201650,4.3843,14.4046,Angra Dos Reis
201651,2.1159,13.6355,Angra Dos Reis
201652,0.6336,3.3181,Angra Dos Reis
201701,5.3557,20.1762,Angra Dos Reis
201702,6.9145,32.087,Angra Dos Reis
201703,5.4363,21.9401,Angra Dos Reis
201704,5.0346,21.8022,Angra Dos Reis
201705,1.6724,7.4938,Angra Dos Reis
201706,2.6499,14.5899,Angra Dos Reis
201707,0.0,0.0,Angra Dos Reis
201708,0.9173,7.6966,Angra Dos Reis
201709,2.6572,11.8306,Angra Dos Reis
201710,1.9911,11.6465,Angra Dos Reis
201711,2.5194,14.0022,Angra Dos Reis
201712,2.1742,10.4844,Angra Dos Reis
201713,1.6512,6.6179,Angra Dos Reis
201714,1.2422,5.7011,Angra Dos Reis
201715,1.6599,9.1319,Angra Dos Reis
201716,1.2515,4.2727,Angra Dos Reis
201717,2.0519,7.5426,Angra Dos Reis
201718,0.6334,3.6613,Angra Dos Reis
201719,0.9885,2.8809,Angra Dos Reis
201720,1.1664,6.2053,Angra Dos Reis
201721,1.0241,6.0965,Angra Dos Reis
201722,0.0432,0.145,Angra Dos Reis
201723,0.5574,3.39,Angra Dos Reis
201724,1.8403,9.6194,Angra Dos Reis
201725,1.9795,7.393,Angra Dos Reis
201726,0.3857,1.861,Angra Dos Reis
201727,0.8808,3.393,Angra Dos Reis
201728,0.0381,0.1995,Angra Dos Reis
201729,0.3663,1.6452,Angra Dos Reis
201730,0.0321,0.2407,Angra Dos Reis
201731,0.3648,1.9489,Angra Dos Reis
201732,0.119,0.7526,Angra Dos Reis
201733,1.2768,4.6963,Angra Dos Reis
201734,0.8585,4.2365,Angra Dos Reis
201735,0.2449,1.2539,Angra Dos Reis
201736,0.0012,0.0045,Angra Dos Reis
201737,0.003,0.0116,Angra Dos Reis
201738,0.0095,0.0449,Angra Dos Reis
201739,0.5436,3.6655,Angra Dos Reis
201740,0.573,3.129,Angra Dos Reis
201741,0.0141,0.1499,Angra Dos Reis
201742,0.3497,1.8593,Angra Dos Reis
201743,3.3872,14.8503,Angra Dos Reis
201744,0.54,2.5342,Angra Dos Reis
201745,1.0883,5.2318,Angra Dos Reis
201746,1.4917,7.8146,Angra Dos Reis
201747,5.5277,20.9637,Angra Dos Reis
201748,2.864,11.911,Angra Dos Reis
201749,0.9933,3.9222,Angra Dos Reis
201750,0.5452,3.6509,Angra Dos Reis
201751,3.9071,25.0548,Angra Dos Reis
201752,7.7707,22.0137,Angra Dos Reis
201801,4.3223,13.751,Angra Dos Reis
201802,9.4167,37.196,Angra Dos Reis
201803,2.1102,8.1595,Angra Dos Reis
201804,3.1976,16.2338,Angra Dos Reis
201805,1.904,8.8522,Angra Dos Reis
201806,2.1126,8.5687,Angra Dos Reis
201807,7.4771,17.166,Angra Dos Reis
201808,4.6003,15.9882,Angra Dos Reis
201809,4.3781,20.0817,Angra Dos Reis
201810,5.6125,20.648,Angra Dos Reis
201811,3.0775,15.4056,Angra Dos Reis
201812,3.6855,22.0404,Angra Dos Reis
201813,0.0,0.0473,Angra Dos Reis
201814,4.4342,11.6006,Angra Dos Reis
201815,3.3051,15.4879,Angra Dos Reis
201816,2.5883,11.6526,Angra Dos Reis
201817,0.366,2.1736,Angra Dos Reis
201818,0.2783,1.8608,Angra Dos Reis
201819,1.8547,10.9528,Angra Dos Reis
201820,2.6843,10.7218,Angra Dos Reis
201821,0.2106,1.0449,Angra Dos Reis
201822,0.0625,0.8817,Angra Dos Reis
201823,1.0981,4.352,Angra Dos Reis
201824,0.9353,3.7501,Angra Dos Reis
201825,0.7623,4.5968,Angra Dos Reis
201826,0.0011,0.0006,Angra Dos Reis
201827,0.459,2.7056,Angra Dos Reis
201828,0.5499,3.1623,Angra Dos Reis
201829,0.0204,0.0723,Angra Dos Reis
201830,0.3712,1.8832,Angra Dos Reis
201831,2.3235,7.5225,Angra Dos Reis
201832,1.2543,7.1004,Angra Dos Reis
201833,0.504,3.0416,Angra Dos Reis
201834,0.0938,0.6996,Angra Dos Reis
201835,0.4581,2.3024,Angra Dos Reis
201836,1.9881,6.6897,Angra Dos Reis
201837,1.407,8.1621,Angra Dos Reis
201838,1.502,6.0311,Angra Dos Reis
201839,3.866,15.151,Angra Dos Reis
201840,1.6235,7.092,Angra Dos Reis
201841,5.3095,13.4506,Angra Dos Reis
201842,1.5142,3.6463,Angra Dos Reis
201843,1.2419,4.5681,Angra Dos Reis
201844,0.6281,3.1069,Angra Dos Reis
201845,5.1933,18.3348,Angra Dos Reis
201846,0.8014,4.056,Angra Dos Reis
201847,2.2402,9.9956,Angra Dos Reis
201848,2.1299,11.465,Angra Dos Reis
201849,2.4042,9.3413,Angra Dos Reis
201850,0.1815,1.2856,Angra Dos Reis
201851,0.2367,1.5286,Angra Dos Reis
201852,3.0228,11.5727,Angra Dos Reis
201901,4.9558,29.2781,Angra Dos Reis
201902,0.4017,0.6597,Angra Dos Reis
201903,0.8568,4.1448,Angra Dos Reis
201904,4.9196,24.6006,Angra Dos Reis
201905,0.0,0.0,Angra Dos Reis
201906,8.4071,31.4274,Angra Dos Reis
201907,3.7724,16.0598,Angra Dos Reis
201908,6.5377,20.454,Angra Dos Reis
201909,8.8069,35.7612,Angra Dos Reis
201910,2.3641,14.1384,Angra Dos Reis
201911,4.2253,18.4014,Angra Dos Reis
201912,6.395,18.2333,Angra Dos Reis
201913,2.009,9.7427,Angra Dos Reis
201914,0.6539,3.8586,Angra Dos Reis
201915,5.4102,26.7513,Angra Dos Reis
201916,1.6232,8.7415,Angra Dos Reis
201917,0.8104,5.4947,Angra Dos Reis
201918,1.4369,7.4296,Angra Dos Reis
201919,4.4216,18.3203,Angra Dos Reis
201920,5.6424,20.1932,Angra Dos Reis
201921,0.5193,3.6147,Angra Dos Reis
201922,1.1286,5.5206,Angra Dos Reis
201923,2.6111,9.388,Angra Dos Reis
201924,0.2743,0.7453,Angra Dos Reis
201925,0.4866,2.6789,Angra Dos Reis
201926,0.0,0.0,Angra Dos Reis
201927,1.6163,6.5518,Angra Dos Reis
201928,0.0926,0.5482,Angra Dos Reis
201929,0.1038,1.037,Angra Dos Reis
201930,0.0,0.0,Angra Dos Reis
201931,0.6942,4.4191,Angra Dos Reis
201932,0.7695,3.8076,Angra Dos Reis
201933,0.5764,2.5443,Angra Dos Reis
201934,2.4122,6.7606,Angra Dos Reis
201935,0.3053,1.8666,Angra Dos Reis
201936,2.3706,7.9326,Angra Dos Reis
201937,0.1167,0.7296,Angra Dos Reis
201938,0.086,0.508,Angra Dos Reis
201939,1.8422,5.6428,Angra Dos Reis
201940,0.2654,1.3658,Angra Dos Reis
