week,precipitation_avg,precipitation_max,CITY
201727,0.9458,3.92,Angra Dos Reis
201728,0.0201,0.1335,Angra Dos Reis
201729,0.3271,1.49,Angra Dos Reis
201730,0.0037,0.0409,Angra Dos Reis
201731,0.4602,2.3,Angra Dos Reis
201732,0.1214,0.68,Angra Dos Reis
201733,1.2508,4.6637,Angra Dos Reis
201734,0.8449,4.1619,Angra Dos Reis
201735,0.2312,1.1273,Angra Dos Reis
201736,0.0012,0.0044,Angra Dos Reis
201737,0.0117,0.0636,Angra Dos Reis
201738,0.0117,0.0545,Angra Dos Reis
201739,0.3333,3.0473,Angra Dos Reis
201740,0.711,3.9565,Angra Dos Reis
201741,0.0303,0.209,Angra Dos Reis
201742,0.3169,1.7182,Angra Dos Reis
201743,3.3815,15.0475,Angra Dos Reis
201744,1.1426,5.4778,Angra Dos Reis
201745,1.251,5.587,Angra Dos Reis
201746,1.4151,7.613,Angra Dos Reis
201747,5.6494,20.7084,Angra Dos Reis
201748,3.2571,10.7931,Angra Dos Reis
201749,1.661,5.1588,Angra Dos Reis
201750,0.7327,3.9199,Angra Dos Reis
201751,4.4058,29.4541,Angra Dos Reis
201752,8.1824,23.0438,Angra Dos Reis
201801,5.0005,14.7826,Angra Dos Reis
201802,10.1164,38.1855,Angra Dos Reis
201803,2.6802,10.4474,Angra Dos Reis
201804,4.3426,18.5043,Angra Dos Reis
201805,2.1133,9.3425,Angra Dos Reis
201806,2.2516,9.2002,Angra Dos Reis
201807,7.721,17.8261,Angra Dos Reis
201808,5.4699,17.7637,Angra Dos Reis
201809,4.9039,20.8273,Angra Dos Reis
201810,6.5286,23.7909,Angra Dos Reis
201811,3.2758,15.0,Angra Dos Reis
201812,3.684,21.7962,Angra Dos Reis
201813,0.4568,1.6988,Angra Dos Reis
201814,3.0464,8.0957,Angra Dos Reis
201815,3.4079,14.8031,Angra Dos Reis
201816,2.4733,10.9499,Angra Dos Reis
201817,0.4224,2.2174,Angra Dos Reis
201818,0.3565,2.313,Angra Dos Reis
201819,1.8621,10.7398,Angra Dos Reis
201820,3.0112,12.9876,Angra Dos Reis
201821,0.2696,1.4348,Angra Dos Reis
201822,0.0297,0.3635,Angra Dos Reis
201823,1.1043,4.6106,Angra Dos Reis
201824,1.0705,3.8764,Angra Dos Reis
201825,0.5725,3.9645,Angra Dos Reis
201826,0.0012,0.0015,Angra Dos Reis
201827,0.4062,2.2696,Angra Dos Reis
201828,0.5533,3.3428,Angra Dos Reis
201829,0.0277,0.0917,Angra Dos Reis
201830,0.4643,2.45,Angra Dos Reis
201831,2.3217,7.1005,Angra Dos Reis
201832,1.2813,7.2957,Angra Dos Reis
201833,0.4714,2.7917,Angra Dos Reis
201834,0.0872,0.6102,Angra Dos Reis
201835,0.4012,1.9583,Angra Dos Reis
201836,1.9837,7.0999,Angra Dos Reis
201837,1.6911,9.4003,Angra Dos Reis
201838,1.9083,6.75,Angra Dos Reis
201839,4.0021,16.7847,Angra Dos Reis
201840,1.5584,6.0481,Angra Dos Reis
201841,5.5817,13.2256,Angra Dos Reis
201842,1.8627,6.0923,Angra Dos Reis
201843,1.4085,4.4742,Angra Dos Reis
201844,0.6604,3.3923,Angra Dos Reis
201845,5.2967,17.3308,Angra Dos Reis
201846,1.0082,4.992,Angra Dos Reis
201847,2.6183,10.416,Angra Dos Reis
201848,2.3463,11.464,Angra Dos Reis
201849,2.5291,9.016,Angra Dos Reis
201850,0.2646,1.7248,Angra Dos Reis
201851,1.3954,7.288,Angra Dos Reis
201852,3.8297,13.272,Angra Dos Reis
201901,6.561,30.1336,Angra Dos Reis
201902,0.0876,0.6407,Angra Dos Reis
201903,0.7152,4.5976,Angra Dos Reis
201904,4.6569,22.6081,Angra Dos Reis
201905,0.0,0.0,Angra Dos Reis
201906,5.9758,25.7629,Angra Dos Reis
201907,4.0084,16.0083,Angra Dos Reis
201908,6.4584,19.9385,Angra Dos Reis
201909,8.9722,35.3657,Angra Dos Reis
201910,2.7083,12.872,Angra Dos Reis
201911,4.832,18.144,Angra Dos Reis
201912,6.6661,18.5385,Angra Dos Reis
201913,1.9978,9.3077,Angra Dos Reis
201914,0.996,4.9485,Angra Dos Reis
201915,4.5769,19.7423,Angra Dos Reis
201916,1.769,8.6605,Angra Dos Reis
201917,1.0346,6.9538,Angra Dos Reis
201918,1.5175,7.7407,Angra Dos Reis
201919,4.3449,18.8632,Angra Dos Reis
201920,5.4264,19.6885,Angra Dos Reis
201921,0.5206,3.6242,Angra Dos Reis
201922,0.9445,2.8385,Angra Dos Reis
201923,2.556,9.9885,Angra Dos Reis
201924,0.1545,0.3341,Angra Dos Reis
201925,0.4692,2.6154,Angra Dos Reis
201926,0.0,0.0,Angra Dos Reis
201927,1.4907,6.2896,Angra Dos Reis
201928,0.078,0.4385,Angra Dos Reis
201929,0.0945,1.0224,Angra Dos Reis
201930,0.0,0.0001,Angra Dos Reis
201931,0.6897,4.3346,Angra Dos Reis
201932,0.7626,3.8615,Angra Dos Reis
201933,0.6132,2.4615,Angra Dos Reis
201934,2.4127,6.7646,Angra Dos Reis
