Actual,Predicted
0.0,-36.41432409827288
0.0,-27.134258956343437
0.0,-33.43414121130333
1.0,-39.01219749853604
0.0,-54.37992145265615
1.0,-56.53031297821722
1.0,-39.49547228502087
0.0,-59.01823973068327
1.0,-82.20541354027286
1.0,-68.1701088625001
1.0,-83.45980174698623
3.0,-88.69256953763762
1.0,-77.40665779758473
0.0,-82.15319089465031
0.0,-100.12416605860518
0.0,-96.59952609405995
0.0,-106.0440427022032
0.0,-117.1742614386583
0.0,-114.38821998381478
0.0,-122.36487617516788
0.0,-138.85968337942222
0.0,-121.3491768910882
0.0,-126.0328565621255
0.0,-119.16233165686688
0.0,-126.27142548227074
1.0,-119.34394253686692
0.0,-128.86911726661876
1.0,-121.77692251123479
0.0,-137.22388659674542
2.0,-123.46516385217123
2.0,-123.0795949455386
3.0,-122.2190167636004
1.0,-104.26135234064326
0.0,-107.07883160865839
0.0,-113.47477621772381
1.0,-107.24533637177448
0.0,-92.09171089104136
1.0,11.140540460593442
0.0,13.844188998480858
1.0,-0.19755273347278732
1.0,-4.594548359916541
3.0,-4.415293437243714
3.0,8.603544514998655
1.0,11.91637364448112
8.0,17.13852013300404
14.0,10.660997833527976
17.0,20.119188217454838
53.0,19.81722079546585
47.0,10.441174796613375
37.0,-9.869658298194453
55.0,-4.129592064383878
37.0,-15.17943731317667
38.0,-0.7497026884749343
33.0,-10.440067228154255
27.0,-20.464751627895794
28.0,-28.095356220002266
18.0,-26.15123496736696
13.0,-33.2454117905744
16.0,-27.512563555538026
14.0,-30.315773632402518
6.0,-40.284432453014034
3.0,-54.83493302911005
2.0,-75.11595459705163
0.0,-69.63089066149317
2.0,-81.69124133885538
1.0,-98.19115731099998
0.0,-116.509694248555
0.0,-114.3885984265754
0.0,-105.72239014960799
1.0,-118.6845352186978
0.0,-115.9693653135242
0.0,-96.21406306601895
0.0,-105.65193949029084
1.0,-106.79151375285208
1.0,-118.8450282339232
2.0,-99.11858168715368
1.0,-99.29437886767346
0.0,-93.6109798733208
0.0,-83.31788319575993
0.0,-65.19397696223761
0.0,-62.74775014539424
0.0,-74.41118160181895
0.0,-84.88472069277127
0.0,-75.88988835271884
0.0,-70.54854299398622
0.0,-69.54193634579187
1.0,-43.25302735620019
0.0,-69.61024248097154
0.0,-62.982397092207336
1.0,-1.24262809176027
0.0,-2.5922542932389794
0.0,-7.7805297598274334
0.0,-9.472802949312149
0.0,-0.22175512647302315
0.0,3.808531322765951
0.0,-1.1837591264359695
0.0,-2.6455429352752082
0.0,-4.539007715864178
0.0,1.0101974499710715
0.0,11.926831998230323
1.0,-8.236451839471146
1.0,5.298357800505056
0.0,16.530232055097812
0.0,7.906234743886023
1.0,-9.12250540844763
1.0,-1.0526641543607356
0.0,-7.671058028811746
1.0,-14.224664070485808
4.0,-43.75518720043406
2.0,-53.774549538473416
1.0,-25.606017354494412
0.0,-43.200260013003124
1.0,-75.54402059759485
0.0,-65.71961683369163
0.0,-80.88263596740042
1.0,-105.95821766840051
0.0,-100.21025000296078
0.0,-96.44305692088633
0.0,-118.00440200918314
0.0,-102.14754867259359
0.0,-122.45274492596461
0.0,-140.60774405421728
0.0,-134.99510949393684
0.0,-138.28981572051927
0.0,-149.18725164640324
0.0,-111.92721970343783
0.0,-131.60365302450012
0.0,-115.06007960937258
0.0,-106.13441933570486
0.0,-104.72344865545126
0.0,-103.21326103763788
0.0,-100.63323259389415
0.0,-99.07512840068145
0.0,-97.69956240262309
0.0,-90.10912572265754
1.0,-83.80295914902969
0.0,-74.66942577183285
0.0,-68.6786111074623
0.0,-75.74227425853445
1.0,-57.56885593936547
0.0,-62.40465300805974
0.0,9.6506866074248
0.0,15.348938322017744
0.0,-0.134924671927217
0.0,-4.089360180419766
3.0,-3.2906321926317146
1.0,11.41235549318417
6.0,14.116909240807317
3.0,21.17189814006733
4.0,13.05159317440746
25.0,22.380656659406615
49.0,21.758516736844026
24.0,11.862232054744986
81.0,-9.022318191426695
114.0,-3.8087315803682227
80.0,-15.276666307689322
63.0,-1.1371482057617537
59.00000000000001,-10.903728214834809
50.0,-20.771437966895636
32.0,-28.23000949635096
25.0,-25.957960638905814
