date,week,cases,population,tempe_min,humidity_max,humidity_avg,humidity_min,temp_avg,temp_max,geocode,vim,vim_monthly,precipitation_avg_ordinary_krigging,precipitation_max_ordinary_krigging,precipitation_avg_regression_krigging,precipitation_max_regression_krigging,case_increase,is_outbreak,outbreak_label
2015-10-25,201543,0,15514.0,22.2857142857143,94.8571428571429,78.8416475714286,58.5714285714286,25.7194442857143,28.5714285714286,3300902,0.6211188763584111,0.6013666666666667,4.1272,15.6506,4.124,15.6243,0.0,0,0
2015-03-15,201511,0,15514.0,25.0,95.7142857142857,70.4267957142857,43.7142857142857,29.1072362857143,33.8571428571429,3300902,0.6891499944764282,0.6885,2.6803,13.3432,2.7491,14.7475,0.0,0,0
2014-03-02,201410,0,15514.0,23.7142857142857,93.4285714285714,70.0534392857143,39.8571428571429,27.9450234285714,32.2857142857143,3300902,0.6954410326721552,0.7031999999999999,1.4432,6.067,1.4565,6.121,0.0,0,0
2022-07-31,202231,0,15514.0,20.1428571428571,88.5990642857143,63.3251355714286,47.1351468571429,25.0238097142857,28.2857142857143,3300902,0.4751405613188592,0.5221333333333333,0.0254,0.1642,0.0259,0.1837,0.0,0,0
2022-10-09,202241,0,15514.0,23.4285714285714,87.8246871428571,70.9217932857143,58.298387,26.1714284285714,28.4285714285714,3300902,0.5689584422848796,0.5819666666666666,0.0535,0.6665,0.0506,0.7057,0.0,0,0
2015-04-12,201515,0,15514.0,22.4285714285714,94.2857142857143,66.9281775714286,41.7142857142857,27.618242,32.1428571428571,3300902,0.7283253094562954,0.7298,1.0305,5.4533,0.2253,1.6511,0.0,0,0
2017-07-23,201730,0,15514.0,17.0,91.8,91.8,91.8,17.1,17.2,3300902,0.5953101830913293,0.6327333333333334,0.8093,5.6157,0.8081,5.5566,0.0,0,0
2020-10-25,202044,0,15514.0,23.2857142857143,90.3368694285714,77.8445042857143,67.4965517142857,25.8452377142857,28.0,3300902,0.6860112027500288,0.6355,3.8078,15.4909,3.6256,15.5717,0.0,0,0
2012-07-29,201231,0,15514.0,18.5714285714286,99.1428571428571,78.155222,45.5714285714286,23.357869,28.4285714285714,3300902,0.6385778749557071,0.6765666666666666,0.3865,2.0543,0.3958,2.1484,0.0,0,0
2015-01-18,201503,0,15514.0,25.0,87.5714285714286,61.0544215714286,36.7142857142857,30.0289115714286,34.5714285714286,3300902,0.6819433824179352,0.6889,0.4963,7.8933,0.2942,7.0364,0.0,0,0
2014-11-30,201449,0,15514.0,23.0,91.0,72.6003415714286,51.5714285714286,26.4846935714286,29.2857142857143,3300902,0.6924871388326024,0.6193666666666666,3.0827,11.9327,2.7023,10.4968,0.0,0,0
2018-03-25,201813,0,15514.0,23.7142857142857,91.0938671428571,83.5256921428571,78.9957027142857,24.7448978571429,25.4285714285714,3300902,0.7823375803468077,0.7794,0.4944,3.4657,0.0355,0.2564,0.0,0,0
2019-08-18,201934,0,15514.0,19.0,89.8770414285714,80.6758738571429,72.4798928571429,20.7551021428571,22.4285714285714,3300902,0.456416701612876,0.4764333333333333,0.5563,1.6641,0.5567,1.6673,0.0,0,0
